customer_state,media_tempo_entrega
AP,735657928.3582
AM,697657561.7517
MA,646540509.9651
AC,618933341.1000
PB,609631942.5861
SE,594001833.7672
PA,579006113.6786
CE,521305927.4996
BA,454689575.2546
PE,449560033.5122
RN,434302154.6371
RJ,423483619.8593
MT,406710040.3894
GO,404438954.3332
PI,393758659.6765
RS,354362677.5307
ES,342290890.5704
SC,339072147.9631
RO,316967415.8889
TO,314806174.7117
RR,306791512.2683
AL,302184015.6020
DF,269909194.2115
MS,263388532.5492
PR,253016645.9159
MG,225391823.0042
SP,144224435.0706
